EDAD_VICTIMA,FECHA,FECHA_AA,FECHA_DD,FECHA_DECESO,FECHA_MM,ID,ROL_VICTIMA,SEXO_VICTIMA,VH_VICTIMA
33,19/6/2017,2017,19,19/6/2017,6,2017-0079,CONDUCTOR,MASCULINO,MOTO
95,22/6/2017,2017,22,22/6/2017,6,2017-0080,PEATON,FEMENINO,PEATON
36,25/6/2017,2017,25,25/6/2017,6,2017-0082,PEATON,MASCULINO,PEATON
37,4/7/2017,2017,4,4/7/2017,7,2017-0083,CONDUCTOR,MASCULINO,MOTO
73,5/7/2017,2017,5,5/7/2017,7,2017-0084,PEATON,FEMENINO,PEATON
84,7/7/2017,2017,7,7/7/2017,7,2017-0085,PEATON,MASCULINO,PEATON
30,9/7/2017,2017,9,9/7/2017,7,2017-0086,PEATON,FEMENINO,PEATON
73,10/7/2017,2017,10,10/7/2017,7,2017-0087,PEATON,FEMENINO,PEATON
43,10/7/2017,2017,10,10/7/2017,7,2017-0088,PEATON,MASCULINO,PEATON
23,13/7/2017,2017,13,SD,7,2017-0089,SD,MASCULINO,SD
22,15/7/2017,2017,15,15/7/2017,7,2017-0090,PEATON,MASCULINO,PEATON
58,15/7/2017,2017,15,15/7/2017,7,2017-0091,CONDUCTOR,MASCULINO,MOTO
66,24/7/2017,2017,24,24/7/2017,7,2017-0092,PEATON,MASCULINO,PEATON
SD,25/7/2017,2017,25,25/7/2017,7,2017-0093,PEATON,MASCULINO,PEATON
56,27/7/2017,2017,27,27/7/2017,7,2017-0094,CICLISTA,FEMENINO,BICICLETA
36,6/8/2017,2017,6,6/8/2017,8,2017-0095,CONDUCTOR,MASCULINO,MOTO
87,7/8/2017,2017,7,7/8/2017,8,2017-0096,PEATON,MASCULINO,PEATON
61,8/8/2017,2017,8,8/8/2017,8,2017-0098,PEATON,FEMENINO,PEATON
28,17/8/2017,2017,17,17/8/2017,8,2017-0099,CICLISTA,MASCULINO,BICICLETA
16,21/8/2017,2017,21,21/8/2017,8,2017-0100,PASAJERO_ACOMPAÑANTE,FEMENINO,MOTO
61,23/8/2017,2017,23,23/8/2017,8,2017-0101,PEATON,FEMENINO,PEATON
46,24/8/2017,2017,24,24/8/2017,8,2017-0102,PEATON,MASCULINO,PEATON
18,25/8/2017,2017,25,25/8/2017,8,2017-0104,PEATON,FEMENINO,PEATON
85,31/8/2017,2017,31,31/8/2017,8,2017-0106,PEATON,FEMENINO,PEATON
41,1/9/2017,2017,1,1/9/2017,9,2017-0107,CONDUCTOR,MASCULINO,MOTO
10,2/9/2017,2017,2,2/9/2017,9,2017-0108,PASAJERO_ACOMPAÑANTE,MASCULINO,AUTO
17,2/9/2017,2017,2,2/9/2017,9,2017-0108,PASAJERO_ACOMPAÑANTE,MASCULINO,AUTO
21,4/9/2017,2017,4,5/9/2017,9,2017-0109,CONDUCTOR,MASCULINO,MOTO
56,6/9/2017,2017,6,7/9/2017,9,2017-0110,PEATON,MASCULINO,PEATON
79,7/9/2017,2017,7,7/9/2017,9,2017-0111,PEATON,FEMENINO,PEATON
1,10/9/2017,2017,10,SD,9,2017-0112,PASAJERO_ACOMPAÑANTE,MASCULINO,AUTO
SD,10/9/2017,2017,10,13/9/2017,9,2017-0112,PASAJERO_ACOMPAÑANTE,MASCULINO,AUTO
76,11/9/2017,2017,11,11/9/2017,9,2017-0113,PEATON,FEMENINO,PEATON
26,15/9/2017,2017,15,15/9/2017,9,2017-0114,CONDUCTOR,MASCULINO,AUTO
34,19/9/2017,2017,19,SD,9,2017-0115,CONDUCTOR,MASCULINO,MOTO
22,20/9/2017,2017,20,20/9/2017,9,2017-0116,CONDUCTOR,MASCULINO,MOTO
26,22/9/2017,2017,22,29/9/2017,9,2017-0118,PASAJERO_ACOMPAÑANTE,FEMENINO,MOTO
20,2/10/2017,2017,2,2/10/2017,10,2017-0120,CONDUCTOR,MASCULINO,MOTO
36,10/10/2017,2017,10,10/10/2017,10,2017-0123,PEATON,FEMENINO,PEATON
51,12/10/2017,2017,12,12/10/2017,10,2017-0124,CONDUCTOR,MASCULINO,MOTO
29,13/10/2017,2017,13,13/10/2017,10,2017-0125,CONDUCTOR,MASCULINO,MOTO
36,14/10/2017,2017,14,14/10/2017,10,2017-0126,CONDUCTOR,MASCULINO,AUTO
39,14/10/2017,2017,14,SD,10,2017-0126,PASAJERO_ACOMPAÑANTE,MASCULINO,AUTO
24,16/10/2017,2017,16,16/10/2017,10,2017-0127,PASAJERO_ACOMPAÑANTE,MASCULINO,MOTO
60,17/10/2017,2017,17,17/10/2017,10,2017-0128,PEATON,FEMENINO,PEATON
57,26/10/2017,2017,26,26/10/2017,10,2017-0129,CONDUCTOR,MASCULINO,MOTO
23,27/10/2017,2017,27,27/10/2017,10,2017-0130,CONDUCTOR,MASCULINO,AUTO
23,30/10/2017,2017,30,30/10/2017,10,2017-0132,CONDUCTOR,MASCULINO,MOTO
47,6/11/2017,2017,6,6/11/2017,11,2017-0134,PEATON,FEMENINO,PEATON
24,7/11/2017,2017,7,7/11/2017,11,2017-0135,CONDUCTOR,MASCULINO,MOTO
55,16/11/2017,2017,16,16/11/2017,11,2017-0136,PEATON,MASCULINO,PEATON
60,17/11/2017,2017,17,17/11/2017,11,2017-0137,PEATON,FEMENINO,PEATON
25,19/11/2017,2017,19,19/11/2017,11,2017-0138,PASAJERO_ACOMPAÑANTE,MASCULINO,MOTO
15,19/11/2017,2017,19,19/11/2017,11,2017-0139,PASAJERO_ACOMPAÑANTE,FEMENINO,AUTO
24,19/11/2017,2017,19,19/11/2017,11,2017-0140,CONDUCTOR,MASCULINO,MOTO
22,23/11/2017,2017,23,23/11/2017,11,2017-0141,PEATON,FEMENINO,PEATON
50,25/11/2017,2017,25,25/11/2017,11,2017-0143,CONDUCTOR,MASCULINO,AUTO
50,26/11/2017,2017,26,26/11/2017,11,2017-0144,PASAJERO_ACOMPAÑANTE,FEMENINO,AUTO
58,26/11/2017,2017,26,26/11/2017,11,2017-0145,CONDUCTOR,MASCULINO,MOTO
49,28/11/2017,2017,28,28/11/2017,11,2017-0147,CONDUCTOR,MASCULINO,MOTO
82,29/11/2017,2017,29,29/11/2017,11,2017-0148,PEATON,FEMENINO,PEATON
